#;2T2021;AH %;AV %;1T2021;AH %;AV %;4T2020;AH %;AV %;3T2020;AH %;AV %;2T2020;AH %;AV %;1T2020;AH %;AV %;4T2019;AH %;AV %;3T2019;AH %;AV %;2T2019;AH %;AV %;1T2019;AH %;AV %;4T2018;AH %;AV %;3T2018;AH %;AV %;2T2018;AH %;AV %;1T2018;AH %;AV %;4T2017;AH %;AV %;3T2017;AH %;AV %;2T2017;AH %;AV %;1T2017;AH %;AV %;4T2016;AH %;AV %;3T2016;AH %;AV %;2T2016;AH %;AV %;1T2016;AH %;AV %;4T2015;AH %;AV %;3T2015;AH %;AV %;2T2015;AH %;AV %;1T2015;AH %;AV %;4T2014;AH %;AV %;3T2014;AH %;AV %;2T2014;AH %;AV %;1T2014;AH %;AV %;4T2013;AH %;AV %;3T2013;AH %;AV %;2T2013;AH %;AV %;1T2013;AH %;AV %;4T2012;AH %;AV %;3T2012;AH %;AV %;2T2012;AH %;AV %;1T2012;AH %;AV %;4T2011;AH %;AV %;3T2011;AH %;AV %;2T2011;AH %;AV %;1T2011;AH %;AV %;4T2010;AH %;AV %;3T2010;AH %;AV %;2T2010;AH %;AV %;1T2010;AV %
Lucro Líquido - (R$);3934.48 M;59.26%;20.57%;2470.54 M;133.78%;15.12%;1056.80 M;33,00%;7.76%;794.59 M;151.99%;6.5%;315.32 M;42.45%;3.61%;221.35 M;116.57%;2.4%;102.21 M;-64.67%;1.07%;289.31 M;-22.39%;2.91%;372.75 M;-17.65%;3.67%;452.63 M;16.31%;4.51%;389.17 M;-50.77%;3.57%;790.52 M;13.21%;6.16%;698.29 M;55.73%;5.8%;448.41 M;132.41%;4.32%;-1383.58 M;-1055.16%;-14.09%;144.85 M;89.31%;1.53%;76.52 M;-90.71%;0.83%;823.54 M;126.79%;9.74%;-3074.48 M;-3331.09%;-35.67%;95.15 M;20.13%;1.09%;79.21 M;458.36%;0.77%;14.19 M;100.45%;0.14%;-3169.52 M;-61.85%;-30.33%;-1958.30 M;-840.45%;-16.42%;264.47 M;-1.08%;2.46%;267.36 M;-31.97%;2.56%;392.99 M;50.03%;3.62%;261.95 M;-33.4%;2.45%;393.34 M;-10.62%;3.77%;440.09 M;-10.48%;4.17%;491.61 M;-23.38%;4.76%;641.61 M;60.02%;6.11%;400.95 M;151.32%;4.06%;159.54 M;11.83%;1.74%;142.66 M;-65.07%;1.59%;408.42 M;-25.55%;4.16%;548.55 M;38.31%;5.5%;396.62 M;-15.9%;4.31%;471.59 M;-33.89%;5.2%;713.35 M;41.76%;7.95%;503.20 M;22.9%;5.58%;409.44 M;-2.43%;4.9%;419.66 M;-31.09%;5.38%;609.01 M;-28.85%;7.44%;855.97 M;49.45%;10.32%;572.74 M;8.06%
Lucro atribuído a Controladora;3916.55 M;59.77%;-;2451.34 M;133.83%;-;1048.33 M;33.45%;-;785.54 M;149.16%;-;315.27 M;45.54%;-;216.63 M;117.56%;-;99.57 M;-65.14%;-;285.63 M;-22.71%;-;369.54 M;-17.7%;-;449.00 M;17.13%;-;383.34 M;-51.16%;-;784.91 M;13,00%;-;694.59 M;57.49%;-;441.03 M;131.85%;-;-1384.50 M;-1127.27%;-;134.77 M;79.64%;-;75.02 M;-90.8%;-;815.34 M;126.61%;-;-3064.44 M;-3436.21%;-;91.85 M;25.69%;-;73.08 M;740.46%;-;8.70 M;100.28%;-;-3157.18 M;-62.49%;-;-1942.95 M;-860.07%;-;255.63 M;-12.77%;-;293.06 M;-26.18%;-;396.97 M;57.39%;-;252.22 M;-29.24%;-;356.46 M;-10.26%;-;397.22 M;-11.75%;-;450.09 M;-24.36%;-;595.06 M;52.43%;-;390.39 M;163.43%;-;148.19 M;13.1%;-;131.02 M;-66.33%;-;389.18 M;-27.37%;-;535.85 M;44.98%;-;369.59 M;-15.77%;-;438.80 M;-37.95%;-;707.13 M;50.77%;-;469.00 M;20.01%;-;390.80 M;5.9%;-;369.02 M;-31.17%;-;536.14 M;-26.86%;-;733.06 M;45.37%;-;504.27 M;-
Lucro atribuído a Não Controladores;17.93 M;-6.62%;-;19.20 M;126.62%;-;8.47 M;-6.34%;-;9.04 M;17633.33%;-;51.00 K;-98.92%;-;4.73 M;79.25%;-;2.64 M;-28.29%;-;3.68 M;14.3%;-;3.22 M;-11.23%;-;3.62 M;-37.79%;-;5.82 M;3.87%;-;5.61 M;51.5%;-;3.70 M;-49.86%;-;7.38 M;705.02%;-;0.92 M;-90.9%;-;10.08 M;574.63%;-;1.49 M;-81.79%;-;8.20 M;181.71%;-;-10.04 M;-404.3%;-;3.30 M;-46.19%;-;6.13 M;11.66%;-;5.49 M;144.5%;-;-12.34 M;19.62%;-;-15.35 M;-273.56%;-;8.85 M;134.42%;-;-25.70 M;-545.92%;-;-3.98 M;-140.9%;-;9.73 M;-73.62%;-;36.88 M;-13.96%;-;42.87 M;3.26%;-;41.51 M;-10.82%;-;46.55 M;340.55%;-;10.57 M;-6.85%;-;11.34 M;-2.54%;-;11.64 M;-39.51%;-;19.24 M;51.5%;-;12.70 M;-53.01%;-;27.03 M;-17.58%;-;32.79 M;427.2%;-;6.22 M;-81.81%;-;34.20 M;83.52%;-;18.64 M;-63.19%;-;50.63 M;-30.51%;-;72.87 M;-40.72%;-;122.91 M;79.49%;-;68.48 M;-
CAPEX - (R$);-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;-
Dívida Bruta - (R$);15806.16 M;-11.03%;-;17765.24 M;1.43%;-;17515.35 M;-10.37%;-;19540.96 M;-6.85%;-;20977.09 M;4.73%;-;20029.43 M;24.8%;-;16049.87 M;3.59%;-;15493.61 M;5.59%;-;14673.89 M;-2.13%;-;14993.03 M;0.58%;-;14906.71 M;-18.06%;-;18192.64 M;0.43%;-;18115.35 M;8.35%;-;16719.35 M;1.27%;-;16509.58 M;-11.59%;-;18673.93 M;-6.46%;-;19964.28 M;1.34%;-;19700.96 M;-4.29%;-;20583.23 M;-2.44%;-;21098.18 M;2.05%;-;20674.05 M;-12.71%;-;23683.91 M;-10.49%;-;26460.86 M;-4.07%;-;27583.29 M;22.24%;-;22565.65 M;-3.08%;-;23282.23 M;19.26%;-;19521.49 M;5.72%;-;18465.28 M;10.48%;-;16713.73 M;-0.27%;-;16759.39 M;0.31%;-;16706.78 M;5.8%;-;15791.37 M;0.85%;-;15658.56 M;4.79%;-;14942.77 M;1.87%;-;14668.56 M;-2,00%;-;14967.67 M;0.51%;-;14891.57 M;10.63%;-;13461.17 M;-1.63%;-;13683.53 M;1.18%;-;13523.67 M;13.57%;-;11907.52 M;-16.35%;-;14234.82 M;-2.97%;-;14670.00 M;-%;-;-;;-;-;;-;-;-
Dívida Líquida - (R$);-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;-
ROE - (%);-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;1.71;-%;-;-;;-;2.95;8.46%;-;2.72;46.24%;-;1.86;-%;-;-;;-;0.58;93.33%;-;0.3;-90.94%;-;3.31;-%;-;-;;-;0.34;17.24%;-;0.29;480,00%;-;0.05;-%;-;-;;-;-5.44;-825.33%;-;0.75;2.74%;-;0.73;-%;-;-;;-;0.79;-36.29%;-;1.24;-10.79%;-;1.39;-%;-;-;;-;2.06;56.06%;-;1.32;135.71%;-;0.56;-%;-;-;;-;1.41;-26.94%;-;1.93;30.41%;-;1.48;-%;-;-;;-;2.68;30.73%;-;2.05;1.99%;-;2.01;-%;-;-;;-;-;;-;-;;-;-;-
ROIC - (%);-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;;-;1.9;-%;-;-;;-;2.27;4.61%;-;2.17;14.81%;-;1.89;-%;-;-;;-;1.1;23.6%;-;0.89;-60.44%;-;2.25;-%;-;-;;-;1.01;36.49%;-;0.74;138.71%;-;0.31;-%;-;-;;-;-1.67;-306.17%;-;0.81;19.12%;-;0.68;-%;-;-;;-;1.09;0,00%;-;1.09;-4.39%;-;1.14;-%;-;-;;-;1.58;20.61%;-;1.31;98.48%;-;0.66;-%;-;-;;-;1.06;-27.89%;-;1.47;27.83%;-;1.15;-%;-;-;;-;1.57;-19.49%;-;1.95;28.29%;-;1.52;-%;-;-;;-;-;;-;-;;-;-;-
Margem Bruta - (%);28.3;21.83%;-;23.23;18.95%;-;19.53;40.71%;-;13.88;69.06%;-;8.21;-11.43%;-;9.27;30.56%;-;7.1;-28.43%;-;9.92;-20.83%;-;12.53;-1.03%;-;12.66;5.85%;-;11.96;-17.57%;-;14.51;6.14%;-;13.67;6.05%;-;12.89;21.72%;-;10.59;3.02%;-;10.28;0.59%;-;10.22;32.21%;-;7.73;27.77%;-;6.05;-49.71%;-;12.03;13.81%;-;10.57;31.14%;-;8.06;7.04%;-;7.53;-25.81%;-;10.15;-7.56%;-;10.98;3.2%;-;10.64;-10.21%;-;11.85;-0.59%;-;11.92;-1.49%;-;12.1;-2.97%;-;12.47;-4.66%;-;13.08;-10.53%;-;14.62;7.66%;-;13.58;37.03%;-;9.91;-12.53%;-;11.33;-7.13%;-;12.2;-14.57%;-;14.28;18.7%;-;12.03;-9.21%;-;13.25;-11.25%;-;14.93;-4.17%;-;15.58;11.84%;-;13.93;14.56%;-;12.16;-26.21%;-;16.48;-24.65%;-;21.87;10.45%;-;19.8;-
Margem Ebitda - (%);31.14;25.41%;-;24.83;6.52%;-;23.31;45.69%;-;16;0.57%;-;15.91;43.98%;-;11.05;-5.07%;-;11.64;-3.96%;-;12.12;-15.24%;-;14.3;-4.16%;-;14.92;39.57%;-;10.69;-21.57%;-;13.63;0.22%;-;13.6;-0.29%;-;13.64;-%;-;-;;-;11.55;5.19%;-;10.98;-46.47%;-;20.51;-%;-;-;;-;13.33;30.56%;-;10.21;16.69%;-;8.75;-%;-;-;;-;-;;-;11.01;5.66%;-;10.42;-30.49%;-;14.99;31.03%;-;11.44;2.14%;-;11.2;-1.15%;-;11.33;-13.38%;-;13.08;-2.9%;-;13.47;11.32%;-;12.1;37.81%;-;8.78;-12.02%;-;9.98;-5.13%;-;10.52;-15.64%;-;12.47;13.78%;-;10.96;-5.11%;-;11.55;-14.76%;-;13.55;-6.74%;-;14.53;10.24%;-;13.18;-11.9%;-;14.96;-3.17%;-;15.45;-25.47%;-;20.73;5.18%;-;19.71;-
