Periodo;2T2021;AH %;AV %;1T2021;AH %;AV %;4T2020;AH %;AV %;3T2020;AH %;AV %;2T2020;AH %;AV %;1T2020;AH %;AV %;4T2019;AH %;AV %;3T2019;AH %;AV %;2T2019;AH %;AV %;1T2019;AH %;AV %;4T2018;AH %;AV %;3T2018;AH %;AV %;2T2018;AH %;AV %;1T2018;AH %;AV %;4T2017;AH %;AV %;3T2017;AH %;AV %;2T2017;AH %;AV %;1T2017;AH %;AV %;4T2016;AH %;AV %;3T2016;AH %;AV %;2T2016;AH %;AV %;1T2016;AH %;AV %;4T2015;AH %;AV %;3T2015;AH %;AV %;2T2015;AH %;AV %;1T2015;AH %;AV %;4T2014;AH %;AV %;3T2014;AH %;AV %;2T2014;AH %;AV %;1T2014;AH %;AV %;4T2013;AH %;AV %;3T2013;AH %;AV %;2T2013;AH %;AV %;1T2013;AH %;AV %;4T2012;AH %;AV %;3T2012;AH %;AV %;2T2012;AH %;AV %;1T2012;AH %;AV %;4T2011;AH %;AV %;3T2011;AH %;AV %;2T2011;AH %;AV %;1T2011;AH %;AV %;4T2010;AH %;AV %;3T2010;AH %;AV %;2T2010;AH %;AV %;1T2010;AV %
Lucro Líquido  (R$);3934,48 M;59,26%;20,57%;2470,54 M;133,78%;15,12%;1056,80 M;33,00%;7,76%;794,59 M;151,99%;6,50%;315,32 M;42,45%;3,61%;221,35 M;116,57%;2,40%;102,21 M;64,67%;1,07%;289,31 M;22,39%;2,91%;372,75 M;17,65%;3,67%;452,63 M;16,31%;4,51%;389,17 M;50,77%;3,57%;790,52 M;13,21%;6,16%;698,29 M;55,73%;5,80%;448,41 M;132,41%;4,32%;01383,58 M;1055,16%;14,09%;144,85 M;89,31%;1,53%;76,52 M;90,71%;0,83%;823,54 M;126,79%;9,74%;03074,48 M;3331,09%;35,67%;95,15 M;20,13%;1,09%;79,21 M;458,36%;0,77%;14,19 M;100,45%;0,14%;03169,52 M;61,85%;30,33%;01958,30 M;840,45%;16,42%;264,47 M;1,08%;2,46%;267,36 M;31,97%;2,56%;392,99 M;50,03%;3,62%;261,95 M;33,40%;2,45%;393,34 M;10,62%;3,77%;440,09 M;10,48%;4,17%;491,61 M;23,38%;4,76%;641,61 M;60,02%;6,11%;400,95 M;151,32%;4,06%;159,54 M;11,83%;1,74%;142,66 M;65,07%;1,59%;408,42 M;25,55%;4,16%;548,55 M;38,31%;5,50%;396,62 M;15,90%;4,31%;471,59 M;33,89%;5,20%;713,35 M;41,76%;7,95%;503,20 M;22,90%;5,58%;409,44 M;2,43%;4,90%;419,66 M;31,09%;5,38%;609,01 M;28,85%;7,44%;855,97 M;49,45%;10,32%;572,74 M;8,06%
Lucro atribuído a Controladora;3916,55 M;59,77%;0;2451,34 M;133,83%;0;1048,33 M;33,45%;0;785,54 M;149,16%;0;315,27 M;45,54%;0;216,63 M;117,56%;0;99,57 M;65,14%;0;285,63 M;22,71%;0;369,54 M;17,70%;0;449,00 M;17,13%;0;383,34 M;51,16%;0;784,91 M;13,00%;0;694,59 M;57,49%;0;441,03 M;131,85%;0;01384,50 M;1127,27%;0;134,77 M;79,64%;0;75,02 M;90,80%;0;815,34 M;126,61%;0;03064,44 M;3436,21%;0;91,85 M;25,69%;0;73,08 M;740,46%;0;8,70 M;100,28%;0;03157,18 M;62,49%;0;01942,95 M;860,07%;0;255,63 M;12,77%;0;293,06 M;26,18%;0;396,97 M;57,39%;0;252,22 M;29,24%;0;356,46 M;10,26%;0;397,22 M;11,75%;0;450,09 M;24,36%;0;595,06 M;52,43%;0;390,39 M;163,43%;0;148,19 M;13,10%;0;131,02 M;66,33%;0;389,18 M;27,37%;0;535,85 M;44,98%;0;369,59 M;15,77%;0;438,80 M;37,95%;0;707,13 M;50,77%;0;469,00 M;20,01%;0;390,80 M;5,90%;0;369,02 M;31,17%;0;536,14 M;26,86%;0;733,06 M;45,37%;0;504,27 M;0
Lucro atribuído a Não Controladores;17,93 M;6,62%;0;19,20 M;126,62%;0;8,47 M;6,34%;0;9,04 M;17633,33%;0;51,00 K;98,92%;0;4,73 M;79,25%;0;2,64 M;28,29%;0;3,68 M;14,30%;0;3,22 M;11,23%;0;3,62 M;37,79%;0;5,82 M;3,87%;0;5,61 M;51,50%;0;3,70 M;49,86%;0;7,38 M;705,02%;0;0,92 M;90,90%;0;10,08 M;574,63%;0;1,49 M;81,79%;0;8,20 M;181,71%;0;010,04 M;404,30%;0;3,30 M;46,19%;0;6,13 M;11,66%;0;5,49 M;144,50%;0;012,34 M;19,62%;0;015,35 M;273,56%;0;8,85 M;134,42%;0;025,70 M;545,92%;0;03,98 M;140,90%;0;9,73 M;73,62%;0;36,88 M;13,96%;0;42,87 M;3,26%;0;41,51 M;10,82%;0;46,55 M;340,55%;0;10,57 M;6,85%;0;11,34 M;2,54%;0;11,64 M;39,51%;0;19,24 M;51,50%;0;12,70 M;53,01%;0;27,03 M;17,58%;0;32,79 M;427,20%;0;6,22 M;81,81%;0;34,20 M;83,52%;0;18,64 M;63,19%;0;50,63 M;30,51%;0;72,87 M;40,72%;0;122,91 M;79,49%;0;68,48 M;0
CAPEX  (R$);0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0
Dívida Bruta  (R$);15806,16 M;11,03%;0;17765,24 M;1,43%;0;17515,35 M;10,37%;0;19540,96 M;6,85%;0;20977,09 M;4,73%;0;20029,43 M;24,80%;0;16049,87 M;3,59%;0;15493,61 M;5,59%;0;14673,89 M;2,13%;0;14993,03 M;0,58%;0;14906,71 M;18,06%;0;18192,64 M;0,43%;0;18115,35 M;8,35%;0;16719,35 M;1,27%;0;16509,58 M;11,59%;0;18673,93 M;6,46%;0;19964,28 M;1,34%;0;19700,96 M;4,29%;0;20583,23 M;2,44%;0;21098,18 M;2,05%;0;20674,05 M;12,71%;0;23683,91 M;10,49%;0;26460,86 M;4,07%;0;27583,29 M;22,24%;0;22565,65 M;3,08%;0;23282,23 M;19,26%;0;19521,49 M;5,72%;0;18465,28 M;10,48%;0;16713,73 M;0,27%;0;16759,39 M;0,31%;0;16706,78 M;5,80%;0;15791,37 M;0,85%;0;15658,56 M;4,79%;0;14942,77 M;1,87%;0;14668,56 M;2,00%;0;14967,67 M;0,51%;0;14891,57 M;10,63%;0;13461,17 M;1,63%;0;13683,53 M;1,18%;0;13523,67 M;13,57%;0;11907,52 M;16,35%;0;14234,82 M;2,97%;0;14670,00 M;0%;0;0;0,00%;0;0;0,00%;0;0;0
Dívida Líquida  (R$);0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0
ROE  (%);0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;1,71;0%;0;0;0,00%;0;2,95;8,46%;0;2,72;46,24%;0;1,86;0%;0;0;0,00%;0;0,58;93,33%;0;0,3;90,94%;0;3,31;0%;0;0;0,00%;0;0,34;17,24%;0;0,29;480,00%;0;0,05;0%;0;0;0,00%;0;5,44;825,33%;0;0,75;2,74%;0;0,73;0%;0;0;0,00%;0;0,79;36,29%;0;1,24;10,79%;0;1,39;0%;0;0;0,00%;0;2,06;56,06%;0;1,32;135,71%;0;0,56;0%;0;0;0,00%;0;1,41;26,94%;0;1,93;30,41%;0;1,48;0%;0;0;0,00%;0;2,68;30,73%;0;2,05;1,99%;0;2,01;0%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0
ROIC  (%);0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;1,9;0%;0;0;0,00%;0;2,27;4,61%;0;2,17;14,81%;0;1,89;0%;0;0;0,00%;0;1,1;23,60%;0;0,89;60,44%;0;2,25;0%;0;0;0,00%;0;1,01;36,49%;0;0,74;138,71%;0;0,31;0%;0;0;0,00%;0;1,67;306,17%;0;0,81;19,12%;0;0,68;0%;0;0;0,00%;0;1,09;0,00%;0;1,09;4,39%;0;1,14;0%;0;0;0,00%;0;1,58;20,61%;0;1,31;98,48%;0;0,66;0%;0;0;0,00%;0;1,06;27,89%;0;1,47;27,83%;0;1,15;0%;0;0;0,00%;0;1,57;19,49%;0;1,95;28,29%;0;1,52;0%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0
Margem Bruta  (%);28,3;21,83%;0;23,23;18,95%;0;19,53;40,71%;0;13,88;69,06%;0;8,21;11,43%;0;9,27;30,56%;0;7,1;28,43%;0;9,92;20,83%;0;12,53;1,03%;0;12,66;5,85%;0;11,96;17,57%;0;14,51;6,14%;0;13,67;6,05%;0;12,89;21,72%;0;10,59;3,02%;0;10,28;0,59%;0;10,22;32,21%;0;7,73;27,77%;0;6,05;49,71%;0;12,03;13,81%;0;10,57;31,14%;0;8,06;7,04%;0;7,53;25,81%;0;10,15;7,56%;0;10,98;3,20%;0;10,64;10,21%;0;11,85;0,59%;0;11,92;1,49%;0;12,1;2,97%;0;12,47;4,66%;0;13,08;10,53%;0;14,62;7,66%;0;13,58;37,03%;0;9,91;12,53%;0;11,33;7,13%;0;12,2;14,57%;0;14,28;18,70%;0;12,03;9,21%;0;13,25;11,25%;0;14,93;4,17%;0;15,58;11,84%;0;13,93;14,56%;0;12,16;26,21%;0;16,48;24,65%;0;21,87;10,45%;0;19,8;0
Margem Ebitda  (%);31,14;25,41%;0;24,83;6,52%;0;23,31;45,69%;0;16;0,57%;0;15,91;43,98%;0;11,05;5,07%;0;11,64;3,96%;0;12,12;15,24%;0;14,3;4,16%;0;14,92;39,57%;0;10,69;21,57%;0;13,63;0,22%;0;13,6;0,29%;0;13,64;0%;0;0;0,00%;0;11,55;5,19%;0;10,98;46,47%;0;20,51;0%;0;0;0,00%;0;13,33;30,56%;0;10,21;16,69%;0;8,75;0%;0;0;0,00%;0;0;0,00%;0;11,01;5,66%;0;10,42;30,49%;0;14,99;31,03%;0;11,44;2,14%;0;11,2;1,15%;0;11,33;13,38%;0;13,08;2,90%;0;13,47;11,32%;0;12,1;37,81%;0;8,78;12,02%;0;9,98;5,13%;0;10,52;15,64%;0;12,47;13,78%;0;10,96;5,11%;0;11,55;14,76%;0;13,55;6,74%;0;14,53;10,24%;0;13,18;11,90%;0;14,96;3,17%;0;15,45;25,47%;0;20,73;5,18%;0;19,71;0
